word,count,mean_rating,mean_polarity,category
talk,327,4.749235474006116,0.8874935779816514,CATE
successful,21,4.571428571428571,0.9398761904761905,ANTICIPATION
assist,17,4.9411764705882355,0.9032352941176471,TRUST
touched,42,4.904761904761905,0.9062452380952379,CATE
efficient,214,4.94392523364486,0.9489299065420559,ANTICIPATION
immaculate,15,5.0,0.9084933333333335,JOY
include,79,4.6835443037974684,0.8770443037974682,CATE
choice,257,4.8949416342412455,0.9129727626459143,CATE
brilliant,199,4.964824120603015,0.9264301507537689,ANTICIPATION
opposed,17,4.882352941176471,0.9665176470588234,ANGER
hidden,50,4.92,0.90142,CATE
luck,98,4.653061224489796,0.788107142857143,ANTICIPATION
majestic,193,4.958549222797927,0.9177528497409327,ANTICIPATION
word,106,4.773584905660377,0.8516037735849058,TRUST
advice,111,4.738738738738738,0.8561693693693694,TRUST
hunter,57,4.982456140350878,0.8558192982456139,ANTICIPATION
interest,228,4.921052631578948,0.9454864035087719,CATE
apprehensive,92,4.989130434782608,0.9155728260869564,ANTICIPATION
advance,191,4.382198952879581,0.7563157068062827,ANTICIPATION
improved,32,4.71875,0.884196875,CATE
radio,61,4.770491803278689,0.870550819672131,CATE
avalanche,27,5.0,0.9387148148148148,FEAR
endless,22,5.0,0.9504454545454547,ANGER
fell,59,4.694915254237288,0.8699,SADNESS
surprisingly,35,4.9714285714285715,0.9486857142857144,ANTICIPATION
depth,43,4.953488372093023,0.9101488372093024,TRUST
important,152,4.743421052631579,0.9186848684210528,TRUST
forward,178,4.556179775280899,0.8301089887640449,CATE
god,83,4.867469879518072,0.8889819277108432,ANTICIPATION
battery,16,4.8125,0.90408125,ANGER
picturesque,38,4.947368421052632,0.966921052631579,JOY
enjoying,99,4.8686868686868685,0.9590414141414141,ANTICIPATION
anchorage,166,4.753012048192771,0.840978313253012,SADNESS
authentic,15,4.933333333333334,0.9303000000000001,JOY
calls,41,4.170731707317073,0.7511804878048781,ANTICIPATION
swim,17,4.823529411764706,0.9732647058823529,ANTICIPATION
worried,146,4.86986301369863,0.892278082191781,SADNESS
flow,20,4.7,0.907665,CATE
wanting,114,4.956140350877193,0.8992710526315789,SADNESS
intimate,61,4.885245901639344,0.8998672131147539,ANTICIPATION
stress,39,4.923076923076923,0.9336589743589742,CATE
charming,40,4.95,0.9452300000000001,CATE
working,121,4.570247933884297,0.8645115702479339,CATE
nauseous,33,4.696969696969697,0.8238212121212121,DISGUST
satisfied,53,4.9245283018867925,0.9131396226415094,JOY
considerate,61,4.967213114754099,0.9494442622950818,TRUST
appreciation,51,4.980392156862745,0.9504431372549019,JOY
lost,64,4.21875,0.6986484375,SADNESS
advised,61,4.590163934426229,0.8485311475409837,TRUST
falling,15,4.8,0.8574266666666667,SADNESS
maintenance,33,3.9393939393939394,0.5497969696969698,TRUST
guarantee,43,4.767441860465116,0.943093023255814,TRUST
