phrase,total_mentions,review_count,review_percentage
perfectly clear day,17,16,0.07
definitely recommend air,17,17,0.08
eric pilot great,17,16,0.07
definitely highlights trip,17,17,0.08
excellent pilot knowledgeable,17,17,0.08
experience glad did,17,17,0.08
hour long tour,17,17,0.08
glacier landing did,17,17,0.08
flight definitely recommend,17,17,0.08
provided great information,17,17,0.08
kauai really enjoyed,17,17,0.08
knowledgeable friendly pilot,17,17,0.08
feel right home,17,17,0.08
comfortable highly recommend,17,17,0.08
worth highly recommend,17,17,0.08
private plane tour,17,16,0.07
breath taking pilot,17,17,0.08
saw amazing views,17,17,0.08
did lot research,17,17,0.08
smooth flight landing,17,17,0.08
great experience beautiful,17,17,0.08
cost helicopter tour,17,17,0.08
snow capped mountains,17,17,0.08
got amazing views,17,17,0.08
experience fantastic experience,17,17,0.08
visiting san francisco,17,17,0.08
nous avons eu,17,16,0.07
views great experience,17,17,0.08
mt mckinley close,16,15,0.07
tour guide highly,16,16,0.07
did 45 minute,16,16,0.07
bruce did great,16,16,0.07
glacier landing glad,16,16,0.07
mt mckinley landing,16,16,0.07
amazing flight pilot,16,16,0.07
took time explain,16,16,0.07
great experience awesome,16,16,0.07
amazing great experience,16,16,0.07
glacier landing glacier,16,16,0.07
near cruise ship,16,16,0.07
pilot did wonderful,16,16,0.07
